Country,Year,Youth Literacy Rate,Adult Literacy Rate,Elderly Literacy Rate,Total Literacy Rate,6,7,8
Afghanistan *,65.0,20204.0,31.7,2011.0,20.3,2011,0.5,2011
Albania *,99.2,2012.0,97.2,2012.0,86.9,2012,1.0,2012
Algeria *,93.8,2008.0,75.1,2008.0,19.5,2008,1.0,2008
American Samoa *,97.7,1980.0,97.3,1980.0,92.7,1980,1.0,1980
Angola *,77.4,2014.0,66.0,2014.0,27.0,2014,0.8,2014
Anguilla *,99.1,1984.0,95.4,1984.0,88.0,1984,1.0,1984
Argentina *,99.5,2016.0,99.1,2016.0,97.9,2016,1.0,2016
Armenia *,99.8,2011.0,99.7,2011.0,98.9,2011,1.0,2011
Aruba *,99.1,2010.0,96.8,2010.0,88.9,2010,1.0,2010
Azerbaijan *,99.9,2016.0,99.8,2016.0,98.4,2016,1.0,2016
Bahrain *,97.0,2001.0,86.5,2001.0,42.3,2001,1.0,2001
Bangladesh *,94.9,2019.0,74.7,2019.0,39.4,2019,1.03,2019
Barbados *,99.9,2014.0,99.6,2014.0,98.5,2014,1.0,2014
Belarus *,99.8,2009.0,99.6,2009.0,98.6,2009,1.0,2009
Belize *,77.6,1991.0,70.3,1991.0,44.8,1991,1.0,1991
Benin *,52.5,2012.0,32.9,2012.0,7.0,2012,0.6,2012
Bhutan *,87.3,2012.0,57.0,2012.0,14.9,2012,0.9,2012
Bolivia *,99.4,2015.0,92.5,2015.0,67.5,2015,1.0,2015
Bosnia and Herzegovina *,99.7,2013.0,97.0,2013.0,86.0,2013,1.0,2013
Botswana *,97.7,2014.0,87.7,2014.0,40.7,2014,1.0,2014
Brazil *,99.7,2020.0,92.0,2015.0,74.3,2015,1.0,2015
Brunei *,99.4,2011.0,96.1,2011.0,61.6,2011,1.0,2011
Bulgaria *,97.9,2011.0,98.4,2011.0,97.5,2011,1.0,2011
Burkina Faso *,50.1,2014.0,34.6,2014.0,8.4,2014,0.8,2014
Burundi *,79.6,2014.0,61.6,2014.0,24.9,2014,0.9,2014
Cape Verde *,98.1,2015.0,86.8,2015.0,36.8,2015,1.0,2015
Cambodia *,92.2,2015.0,80.5,2015.0,53.1,2015,1.0,2015
Cameroon *,80.6,2010.0,71.3,2010.0,26.1,2010,0.9,2010
Cayman Islands *,98.9,2007.0,98.9,2007.0,94.7,2007,1.0,2007
Central African Republic *,36.4,2010.0,36.8,2010.0,35.7,2010,0.6,2010
Chad *,30.8,2016.0,22.3,2016.0,7.0,2016,0.6,2016
Chile *,99.4,2015.0,96.9,2015.0,89.9,2015,1.0,2015
China *,99.85,2018.0,96.86,2018.0,73.9,2010,1.0[7],2018
Macau *,99.8,2016.0,96.5,2016.0,81.2,2016,1.0,2016
Colombia *,98.7,2016.0,94.7,2016.0,81.4,2016,1.0,2016
Comoros *,71.6,2012.0,49.2,2012.0,12.8,2012,0.9,2012
Congo *,80.9,2011.0,79.3,2011.0,73.1,2011,0.9,2011
DR Congo *,85.0,2016.0,77.0,2016.0,48.0,2016,0.9,2016
Costa Rica *,99.1,2011.0,97.4,2011.0,90.4,2011,1.0,2011
Ivory Coast *,53.0,2014.0,43.9,2014.0,18.0,2014,0.8,2014
Croatia *,99.7,2011.0,99.1,2011.0,97.1,2011,1.0,2011
Cuba *,99.9,2012.0,99.8,2012.0,99.2,2012,1.0,2012
Cyprus *,99.8,2011.0,98.7,2011.0,93.8,2011,1.0,2011
Dominican Republic *,98.8,2016.0,93.8,2016.0,79.8,2016,1.0,2016
Ecuador *,99.1,2016.0,94.4,2016.0,77.7,2016,1.0,2016
Egypt *,93.9,2017.0,71.2,2017.0,43.2,2013,1.0,2017
El Salvador *,98.0,2016.0,88.5,2017.0,65.7,2016,1.0,2016
Equatorial Guinea *,98.2,2014.0,95.0,2014.0,67.2,2014,1.0,2014
Eritrea *,87.0,2008.0,64.7,2008.0,20.9,2008,0.9,2008
Estonia *,99.9,2011.0,99.9,2011.0,99.7,2011,1.0,2011
Eswatini *,93.5,2010.0,83.1,2010.0,45.2,2010,1.0,2010
Ethiopia *,55.0,2007.0,39.0,2007.0,13.6,2007,0.7,2007
French Guiana *,91.3,1982.0,82.9,1982.0,69.7,1982,,
Gabon *,88.5,2012.0,82.3,2012.0,60.6,2012,1.0,2012
Gambia *,60.8,2013.0,42.0,2013.0,10.4,2013,0.9,2013
Georgia *,99.7,2014.0,99.6,2014.0,99.1,2014,1.0,2014
Ghana *,85.7,2010.0,71.5,2010.0,34.9,2010,0.9,2010
Greece *,98.8,2011.0,97.4,2011.0,92.5,2011,1.0,2011
Grenada *,99.2,2014.0,98.6,2014.0,96.2,2014,1.0,2014
Guadeloupe *,99.8,2014.0,96.0,2014.0,82.9,2014,1.0,2014
Guam *,99.9,1990.0,99.4,1990.0,95.9,1990,1.0,1990
Guatemala *,94.4,2014.0,81.3,2014.0,50.7,2014,1.0,2014
Guinea *,46.3,2014.0,32.0,2014.0,13.1,2014,0.7,2014
Guinea-Bissau *,60.4,2014.0,45.6,2014.0,19.5,2014,0.7,2014
Guyana *,96.7,2014.0,85.6,2014.0,49.9,2014,1.0,2014
Haiti *,72.3,2006.0,48.7,2006.0,8.5,2006,0.9,2006
Honduras *,96.1,2016.0,89.0,2016.0,66.3,2016,1.0,2016
Hungary *,98.8,2014.0,99.1,2014.0,99.1,2014,1.0,2014
India *,95.7,2018.0,75.4,2018.0,45.4,2018,0.97,2018
Indonesia *,99.7,2016.0,95.4,2016.0,70.1,2016,1.0,2016
Iran *,98.1,2016.0,85.5,2016.0,36.8,2016,1.0,2016
Iraq *,93.5,2017.0,85.6,2017.0,20.4,2013,0.9,2013
Israel *,98.6,1983.0,91.8,1983.0,79.8,1983,1.0,1983
Italy *,99.9,2011.0,98.8,2011.0,96.7,2011,1.0,2011
Jamaica *,96.3,2014.0,88.1,2014.0,66.6,2014,1.1,2014
Jordan *,99.1,2012.0,97.9,2012.0,87.7,2012,1.0,2012
Kazakhstan *,99.9,2010.0,99.8,2010.0,99.5,2010,1.0,2010
Kenya *,86.5,2014.0,78.7,2014.0,54.0,2014,1.0,2014
North Korea *,100.0,2008.0,100.0,2008.0,100.0,2008,1.0,2008
Kuwait *,99.2,2017.0,96.1,2018.0,69.5,2015,1.0,2017
Kyrgyzstan *,99.8,2009.0,99.2,2009.0,92.5,2009,1.0,2009
Laos *,92.5,2015.0,84.7,2015.0,58.6,2015,1.0,2015
Latvia *,99.8,2011.0,99.9,2011.0,99.9,2011,1.0,2011
Lebanon *,99.2,2009.0,91.2,2009.0,60.2,2009,1.0,2009
Lesotho *,86.6,2014.0,76.6,2014.0,51.4,2014,1.2,2014
Liberia *,49.1,2007.0,42.9,2007.0,32.8,2007,0.6,2007
Libya *,99.6,2004.0,86.1,2004.0,24.2,2004,1.0,2004
Lithuania *,99.9,2011.0,99.8,2011.0,99.8,2011,1.0,2011
Madagascar *,76.8,2012.0,71.6,2012.0,49.4,2012,1.0,2012
Malawi *,72.9,2015.0,62.1,2015.0,35.1,2015,1.0,2015
Malaysia *,98.2,2001.0,89.5,2001.0,47.1,2001,1.0,2001
Maldives *,99.3,2014.0,98.6,2014.0,92.8,2014,1.0,2014
Mali *,49.4,2015.0,33.1,2015.0,13.6,2015,0.6,2015
Malta *,98.9,2011.0,93.3,2011.0,85.8,2011,1.0,2011
Marshall Islands *,98.5,2011.0,98.3,2011.0,89.4,2011,1.0,2011
Martinique,99.8,2014.0,96.9,2014.0,88.1,2014,1.0,2014
Mauritania *,56.1,2007.0,45.5,2007.0,26.6,2007,0.7,2007
Mauritius *,98.1,2011.0,93.2,2016.0,64.6,2011,1.0,2011
Mexico *,99.1,2016.0,94.9,2016.0,78.9,2016,1.0,2016
Mongolia *,98.5,2010.0,98.3,2010.0,94.6,2010,1.0,2010
Montenegro *,99.2,2011.0,98.4,2011.0,93.9,2011,1.0,2011
Morocco *,97.79,2018.0,73.89,2018.0,34.19,2018,0.99[10],2018
Mozambique *,70.5,2015.0,56.0,2015.0,26.0,2015,0.8,2015
Myanmar *,84.8,2016.0,75.6,2016.0,58.2,2016,1.0,2016
Namibia *,94.4,2011.0,88.3,2011.0,56.7,2011,1.0,2011
Nepal *,84.8,2011.0,68.0,2018.0,20.8,2011,0.9,2011
New Caledonia,99.2,2014.0,97.8,2014.0,90.6,2014,1.0,2014
Nicaragua *,87.0,2005.0,78.0,2005.0,49.2,2005,1.0,2005
Niger *,39.8,2012.0,30.6,2012.0,13.7,2012,0.7,2012
Nigeria *,66.4,2008.0,51.1,2008.0,21.6,2008,0.8,2008
North Macedonia *,98.7,2002.0,96.1,2002.0,82.5,2002,1.0,2002
Oman *,98.7,2017.0,96.1,2017.0,41.9,2016,1.0,2017
Pakistan *,74.5,2017.0,59.1,2017.0,27.1,2017,0.83,2017
Palau *,98.7,2015.0,96.6,2015.0,84.7,2015,1.0,2015
Palestine,9911.0,2020.0,9711.0,2019.0,63.9,2016,1.13[11],2016
Panama *,97.6,2010.0,94.1,2010.0,80.9,2010,1.0,2010
Papua New Guinea *,67.9,2010.0,61.6,2010.0,33.0,2010,1.1,2010
Paraguay *,98.5,2016.0,94.7,2016.0,77.8,2016,1.0,2016
Peru *,98.9,2016.0,94.1,2017.0,77.7,2016,1.0,2016
Philippines *,98.1,2013.0,96.4,2013.0,90.1,2013,1.0,2013
Poland *,99.8,2008.0,98.7,2008.0,93.0,2008,1.0,2008
Portugal *,99.4,2011.0,94.5,2011.0,80.5,2011,1.0,2011
Puerto Rico *,98.8,2010.0,92.4,2017.0,84.5,2010,1.0,2010
Qatar *,95.9,2004.0,89.0,2004.0,41.0,2004,1.0,2004
Moldova *,99.5,2012.0,99.1,2012.0,95.8,2012,1.0,2012
Romania *,99.0,2011.0,98.6,2011.0,96.8,2011,1.0,2011
Russia *,99.7,2010.0,99.7,2010.0,99.2,2010,1.0,2010
Rwanda *,85.1,2014.0,70.8,2014.0,24.3,2014,1.0,2014
Réunion,95.7,1982.0,78.6,1982.0,42.0,1982,1.0,1982
Saint Pierre and Miquelon,99.5,1982.0,99.3,1982.0,98.5,1982,1.0,1982
Samoa *,99.2,2011.0,99.0,2011.0,96.3,2011,1.0,2011
São Tomé and Príncipe *,96.7,2012.0,90.1,2012.0,49.6,2012,1.0,2012
Saudi Arabia *,99.2,2013.0,94.4,2013.0,51.4,2013,1.0,2013
Senegal *,69.5,2017.0,51.9,2017.0,21.5,2013,0.8,2017
Serbia *,99.7,2016.0,98.8,2016.0,96.6,2016,1.0,2016
Seychelles,99.0,2010.0,94.0,2010.0,71.5,2010,1.0,2010
Sierra Leone *,57.0,2013.0,32.4,2013.0,3.7,2013,0.8,2013
Singapore *,99.9,2016.0,97.0,2016.0,84.0,2015,1.0,2016
Slovenia *,99.8,2014.0,99.7,2014.0,99.3,2014,1.0,2014
South Africa *,99.0,2015.0,94.4,2015.0,72.1,2015,1.0,2015
South Sudan *,36.7,2008.0,26.8,2008.0,11.0,2008,0.7,2008
Spain *,99.6,2016.0,98.3,2016.0,94.7,2016,1.0,2016
Sri Lanka *,98.9,2017.0,91.9,2017.0,81.0,2016,1.0,2017
Saint Vincent and the Grenadines *,98.0,1970.0,95.6,1970.0,91.0,1970,1.0,1970
Sudan *,65.8,2008.0,53.5,2008.0,24.3,2008,0.9,2008
Suriname *,97.7,2012.0,92.9,2012.0,76.0,2012,1.0,2012
Syria *,92.5,2004.0,80.8,2004.0,39.0,2004,1.0,2004
Tajikistan *,99.9,2014.0,99.8,2014.0,98.1,2014,1.0,2014
Tanzania *,85.8,2015.0,77.9,2015.0,43.5,2015,1.0,2015
Thailand *,98.1,2015.0,92.9,2015.0,78.7,2015,1.0,2015
Timor-Leste *,79.5,2010.0,58.3,2010.0,11.2,2010,1.0,2010
Togo *,84.3,2015.0,63.7,2015.0,20.4,2015,0.9,2015
Tonga *,99.4,2011.0,99.4,2011.0,98.9,2011,1.0,2011
Trinidad and Tobago *,99.3,1990.0,96.9,1990.0,82.8,1990,1.0,1990
Tunisia *,96.2,2014.0,79.0,2014.0,39.8,2014,1.0,2014
Turkey *,99.6,2016.0,96.2,2016.0,88.1,2016,1.0,2016
Turkmenistan *,99.8,2014.0,99.7,2014.0,97.6,2014,1.0,2014
Uganda *,83.7,2012.0,70.2,2012.0,36.1,2012,1.0,2012
Ukraine *,100.0,2012.0,100.0,2012.0,100.0,2012,1.0,2012
United Arab Emirates *,95.0,2005.0,90.0,2005.0,42.1,2005,1.0,2005
Uruguay *,98.9,2017.0,98.6,2017.0,97.1,2016,1.0,2017
Uzbekistan *,100.0,2016.0,100.0,2016.0,99.8,2016,1.0,2016
Vanuatu *,95.3,2014.0,84.7,2014.0,44.2,2014,1.0,2014
Venezuela *,98.8,2016.0,97.1,2016.0,88.1,2016,1.0,2016
Vietnam *,97.1,2009.0,95.8,2019.0,76.9,2009,1.0,2009
Yemen *,77.0,2004.0,54.1,2004.0,13.7,2004,0.7,2004
Zambia *,88.7,2010.0,83.0,2010.0,52.3,2010,0.9,2010
Zimbabwe *,90.4,2014.0,88.7,2014.0,81.1,2014,1.1,2014
